ENSG00000148384.13	INPP5E
ENSG00000069424.15	KCNAB2
ENSG00000102225.16	CDK16
ENSG00000188157.15	AGRN
ENSG00000198858.10	R3HDM4
ENSG00000102032.13	RENBP
ENSG00000254093.9	PINX1
ENSG00000163156.12	SCNM1
ENSG00000123975.5	CKS2
ENSG00000164975.15	SNAPC3
ENSG00000140511.12	HAPLN3
ENSG00000142207.7	URB1
ENSG00000112039.5	FANCE
ENSG00000133961.20	NUMB
ENSG00000172269.19	DPAGT1
ENSG00000184347.15	SLIT3
ENSG00000163207.7	IVL
ENSG00000198848.13	CES1
ENSG00000134198.10	TSPAN2
ENSG00000141293.16	SKAP1
ENSG00000205978.6	NYNRIN
ENSG00000013297.12	CLDN11
ENSG00000115392.12	FANCL
ENSG00000102886.15	GDPD3
ENSG00000185640.6	KRT79
ENSG00000198821.10	CD247
ENSG00000126883.17	NUP214
ENSG00000143224.18	PPOX
ENSG00000254415.3	SIGLEC14
ENSG00000099139.14	PCSK5
ENSG00000007080.11	CCDC124
ENSG00000154589.7	LY96
ENSG00000184613.10	NELL2
ENSG00000105778.19	AVL9
ENSG00000151458.12	ANKRD50
ENSG00000176293.19	ZNF135
ENSG00000078369.18	GNB1
ENSG00000118785.14	SPP1
ENSG00000177971.8	IMP3
ENSG00000174109.5	C16orf91
ENSG00000198517.10	MAFK
ENSG00000178502.6	KLHL11
ENSG00000162998.5	FRZB
ENSG00000152193.8	RNF219
ENSG00000100664.11	EIF5
ENSG00000171703.17	TCEA2
ENSG00000131238.17	PPT1
ENSG00000168490.14	PHYHIP
ENSG00000188177.14	ZC3H6
ENSG00000124935.4	SCGB1D2
ENSG00000124787.14	RPP40
ENSG00000185088.14	RPS27L
ENSG00000159433.12	STARD9
ENSG00000180488.15	MIGA1
ENSG00000163527.10	STT3B
ENSG00000168209.5	DDIT4
ENSG00000166716.10	ZNF592
ENSG00000174444.15	RPL4
ENSG00000184330.12	S100A7A
ENSG00000169291.10	SHE
ENSG00000141668.10	CBLN2
ENSG00000137574.11	TGS1
ENSG00000175287.19	PHYHD1
ENSG00000091073.19	DTX2
ENSG00000108849.8	PPY
ENSG00000205208.5	C4orf46
ENSG00000137948.18	BRDT
ENSG00000148308.17	GTF3C5
ENSG00000141854.9	MISP3
ENSG00000166801.15	FAM111A
ENSG00000104327.7	CALB1
ENSG00000185551.15	NR2F2
ENSG00000196876.18	SCN8A
ENSG00000146731.11	CCT6A
ENSG00000103351.13	CLUAP1
ENSG00000090020.11	SLC9A1
ENSG00000178188.14	SH2B1
ENSG00000116171.19	SCP2
ENSG00000001461.17	NIPAL3
ENSG00000124574.15	ABCC10
ENSG00000196943.14	NOP9
ENSG00000180879.14	SSR4
ENSG00000115604.10	IL18R1
ENSG00000134202.11	GSTM3
ENSG00000188811.14	NHLRC3
ENSG00000174501.14	ANKRD36C
ENSG00000158717.11	RNF166
ENSG00000146281.6	PM20D2
ENSG00000148082.10	SHC3
ENSG00000169567.12	HINT1
ENSG00000162194.12	LBHD1
ENSG00000175575.13	PAAF1
ENSG00000164466.13	SFXN1
ENSG00000172197.11	MBOAT1
ENSG00000164031.17	DNAJB14
ENSG00000187783.12	TMEM72
ENSG00000133612.19	AGAP3
ENSG00000100079.7	LGALS2
ENSG00000146872.17	TLK2
ENSG00000013619.14	MAMLD1
ENSG00000152582.14	SPEF2
ENSG00000162714.12	ZNF496
ENSG00000162302.13	RPS6KA4
ENSG00000078269.15	SYNJ2
ENSG00000111052.7	LIN7A
ENSG00000173918.15	C1QTNF1
ENSG00000172638.13	EFEMP2
ENSG00000158296.14	SLC13A3
ENSG00000189280.3	GJB5
ENSG00000108559.12	NUP88
ENSG00000165816.13	VWA2
ENSG00000187601.5	MAGEH1
ENSG00000161981.11	SNRNP25
ENSG00000152240.13	HAUS1
ENSG00000071859.15	FAM50A
ENSG00000179115.11	FARSA
ENSG00000140538.16	NTRK3
ENSG00000161791.14	FMNL3
ENSG00000164776.9	PHKG1
ENSG00000198040.10	ZNF84
ENSG00000196715.7	VKORC1L1
ENSG00000101134.12	DOK5
ENSG00000139433.10	GLTP
ENSG00000174521.7	TTC9B
ENSG00000113522.14	RAD50
ENSG00000123908.12	AGO2
ENSG00000181029.9	TRAPPC5
ENSG00000078687.17	TNRC6C
ENSG00000102763.18	VWA8
ENSG00000146233.8	CYP39A1
ENSG00000158122.12	AAED1
ENSG00000179965.12	ZNF771
ENSG00000148985.20	PGAP2
ENSG00000066739.12	ATG2B
ENSG00000204519.11	ZNF551
ENSG00000119673.14	ACOT2
ENSG00000130656.6	HBZ
ENSG00000168411.14	RFWD3
ENSG00000182551.14	ADI1
ENSG00000255974.8	CYP2A6
ENSG00000136754.17	ABI1
ENSG00000085552.17	IGSF9
ENSG00000100802.15	C14orf93
ENSG00000100209.11	HSCB
ENSG00000107186.16	MPDZ
ENSG00000083168.11	KAT6A
ENSG00000167580.7	AQP2
ENSG00000182898.4	TCHHL1
ENSG00000177853.14	ZNF518A
ENSG00000082397.17	EPB41L3
ENSG00000100604.13	CHGA
ENSG00000149636.15	DSN1
ENSG00000169905.12	TOR1AIP2
ENSG00000125445.11	MRPS7
ENSG00000158941.16	CCAR2
ENSG00000119899.13	SLC17A5
ENSG00000114544.16	SLC41A3
ENSG00000158321.18	AUTS2
ENSG00000166326.7	TRIM44
ENSG00000168389.18	MFSD2A
ENSG00000069535.14	MAOB
ENSG00000103316.11	CRYM
ENSG00000163743.13	RCHY1
ENSG00000211665.3	IGLV3-16
ENSG00000133657.15	ATP13A3
ENSG00000132405.19	TBC1D14
ENSG00000161010.15	MRNIP
ENSG00000213023.11	SYT3
ENSG00000204070.10	SYS1
ENSG00000138823.13	MTTP
ENSG00000173163.10	COMMD1
ENSG00000139835.14	GRTP1
ENSG00000076928.18	ARHGEF1
ENSG00000164418.20	GRIK2
ENSG00000148572.16	NRBF2
ENSG00000154415.8	PPP1R3A
ENSG00000151148.14	UBE3B
ENSG00000011566.15	MAP4K3
ENSG00000131876.17	SNRPA1
ENSG00000100147.13	CCDC134
ENSG00000100316.16	RPL3
ENSG00000068745.15	IP6K2
ENSG00000242247.11	ARFGAP3
ENSG00000066422.5	ZBTB11
ENSG00000167281.19	RBFOX3
ENSG00000043591.6	ADRB1
ENSG00000147684.9	NDUFB9
ENSG00000172534.14	HCFC1
ENSG00000179855.9	GIPC3
ENSG00000198856.13	OSTC
ENSG00000135406.14	PRPH
ENSG00000141560.15	FN3KRP
ENSG00000141577.14	CEP131
ENSG00000105516.11	DBP
ENSG00000056050.7	HPF1
ENSG00000138646.9	HERC5
ENSG00000156136.10	DCK
ENSG00000134013.16	LOXL2
ENSG00000110057.8	UNC93B1
ENSG00000134389.10	CFHR5
ENSG00000204569.10	PPP1R10
ENSG00000137692.12	DCUN1D5
ENSG00000165868.15	HSPA12A
ENSG00000102910.14	LONP2
ENSG00000179094.16	PER1
ENSG00000070831.17	CDC42
ENSG00000131899.11	LLGL1
ENSG00000166866.13	MYO1A
ENSG00000148154.10	UGCG
ENSG00000162664.17	ZNF326
ENSG00000011422.12	PLAUR
ENSG00000104897.10	SF3A2
ENSG00000215421.9	ZNF407
ENSG00000172053.18	QARS
ENSG00000237441.10	RGL2
ENSG00000136155.17	SCEL
ENSG00000144036.16	EXOC6B
ENSG00000085644.14	ZNF213
ENSG00000133065.11	SLC41A1
ENSG00000104447.12	TRPS1
ENSG00000111775.3	COX6A1
ENSG00000206053.13	JPT2
ENSG00000146374.14	RSPO3
ENSG00000198722.14	UNC13B
ENSG00000010932.17	FMO1
ENSG00000159761.15	C16orf86
ENSG00000134827.8	TCN1
ENSG00000155508.13	CNOT8
ENSG00000152939.17	MARVELD2
ENSG00000158161.16	EYA3
ENSG00000139620.13	KANSL2
ENSG00000118689.15	FOXO3
ENSG00000086504.17	MRPL28
ENSG00000168421.13	RHOH
ENSG00000104915.15	STX10
ENSG00000092439.16	TRPM7
ENSG00000103005.12	USB1
ENSG00000110448.11	CD5
ENSG00000124243.17	BCAS4
ENSG00000103707.10	MTFMT
ENSG00000136457.10	CHAD
ENSG00000120727.13	PAIP2
ENSG00000099203.7	TMED1
ENSG00000197694.18	SPTAN1
ENSG00000169413.3	RNASE6
ENSG00000135953.11	MFSD9
ENSG00000160349.9	LCN1
ENSG00000175054.16	ATR
ENSG00000177352.10	CCDC71
ENSG00000211949.3	IGHV3-23
ENSG00000248713.1	AC083902.2
ENSG00000164047.6	CAMP
ENSG00000148950.11	IMMP1L
ENSG00000133020.4	MYH8
ENSG00000070915.10	SLC12A3
ENSG00000163558.13	PRKCI
ENSG00000028116.17	VRK2
ENSG00000168487.19	BMP1
ENSG00000186889.10	TMEM17
ENSG00000137504.13	CREBZF
ENSG00000256162.2	SMLR1
ENSG00000101997.13	CCDC22
ENSG00000124772.12	CPNE5
ENSG00000265354.4	TIMM23
ENSG00000168071.22	CCDC88B
ENSG00000104894.12	CD37
ENSG00000163581.14	SLC2A2
ENSG00000026652.15	AGPAT4
ENSG00000184368.16	MAP7D2
ENSG00000165804.16	ZNF219
ENSG00000085760.15	MTIF2
ENSG00000105929.16	ATP6V0A4
ENSG00000019186.10	CYP24A1
ENSG00000108582.12	CPD
ENSG00000135439.11	AGAP2
ENSG00000103365.15	GGA2
ENSG00000152147.11	GEMIN6
ENSG00000182220.15	ATP6AP2
ENSG00000177455.15	CD19
ENSG00000070540.13	WIPI1
ENSG00000122696.14	SLC25A51
ENSG00000137834.15	SMAD6
ENSG00000256812.2	CAPNS2
ENSG00000101596.16	SMCHD1
ENSG00000120533.13	ENY2
ENSG00000141552.17	ANAPC11
ENSG00000119698.12	PPP4R4
ENSG00000188739.15	RBM34
ENSG00000130957.5	FBP2
ENSG00000166743.9	ACSM1
ENSG00000181751.10	C5orf30
ENSG00000101049.17	SGK2
ENSG00000147614.4	ATP6V0D2
ENSG00000162972.10	MAIP1
ENSG00000074071.15	MRPS34
ENSG00000171649.12	ZIK1
ENSG00000196639.6	HRH1
ENSG00000176788.9	BASP1
ENSG00000105852.11	PON3
ENSG00000090659.18	CD209
ENSG00000009844.16	VTA1
ENSG00000169035.12	KLK7
ENSG00000178150.10	ZNF114
ENSG00000089820.16	ARHGAP4
ENSG00000197579.8	TOPORS
ENSG00000162946.23	DISC1
ENSG00000123838.11	C4BPA
ENSG00000184207.9	PGP
ENSG00000152700.14	SAR1B
ENSG00000105492.16	SIGLEC6
ENSG00000149564.12	ESAM
ENSG00000198756.12	COLGALT2
ENSG00000110455.14	ACCS
ENSG00000130703.17	OSBPL2
ENSG00000106052.13	TAX1BP1
ENSG00000161714.12	PLCD3
ENSG00000102125.16	TAZ
ENSG00000157625.15	TAB3
ENSG00000186812.13	ZNF397
ENSG00000166183.16	ASPG
ENSG00000103642.12	LACTB
ENSG00000265107.3	GJA5
ENSG00000163528.13	CHCHD4
ENSG00000143845.15	ETNK2
ENSG00000165169.11	DYNLT3
ENSG00000065485.20	PDIA5
ENSG00000010319.7	SEMA3G
ENSG00000232434.2	AJM1
ENSG00000165023.7	DIRAS2
ENSG00000244474.6	UGT1A4
ENSG00000105339.10	DENND3
ENSG00000073169.14	SELENOO
ENSG00000132837.15	DMGDH
ENSG00000070404.10	FSTL3
ENSG00000105701.16	FKBP8
ENSG00000182307.14	C8orf33
ENSG00000124193.16	SRSF6
ENSG00000054116.12	TRAPPC3
ENSG00000141580.16	WDR45B
ENSG00000011600.12	TYROBP
ENSG00000167964.13	RAB26
ENSG00000157193.18	LRP8
ENSG00000114209.15	PDCD10
ENSG00000179930.6	ZNF648
ENSG00000146072.6	TNFRSF21
ENSG00000176619.13	LMNB2
ENSG00000110108.10	TMEM109
ENSG00000170323.9	FABP4
ENSG00000121281.13	ADCY7
ENSG00000139675.12	HNRNPA1L2
ENSG00000135541.21	AHI1
ENSG00000120049.19	KCNIP2
ENSG00000129465.16	RIPK3
ENSG00000100644.17	HIF1A
ENSG00000281887.3	GIMAP1-GIMAP5
ENSG00000123395.14	ATG101
ENSG00000117791.16	MARC2
ENSG00000197170.10	PSMD12
ENSG00000162104.10	ADCY9
ENSG00000148396.18	SEC16A
ENSG00000097046.13	CDC7
ENSG00000174718.12	KIAA1551
ENSG00000143149.12	ALDH9A1
ENSG00000160714.10	UBE2Q1
ENSG00000212916.4	MAP10
ENSG00000129824.16	RPS4Y1
ENSG00000187690.4	CXorf67
ENSG00000157837.16	SPPL3
ENSG00000198324.13	FAM109A
ENSG00000168884.15	TNIP2
ENSG00000140464.20	PML
ENSG00000237190.4	CDKN2AIPNL
ENSG00000186205.13	MARC1
ENSG00000170949.17	ZNF160
ENSG00000197535.14	MYO5A
ENSG00000151208.17	DLG5
ENSG00000211456.13	SACM1L
ENSG00000163586.10	FABP1
ENSG00000141965.5	FEM1A
ENSG00000253352.9	TUG1
ENSG00000172247.4	C1QTNF4
ENSG00000167967.16	E4F1
ENSG00000204099.11	NEU4
ENSG00000114268.12	PFKFB4
ENSG00000136895.19	GARNL3
ENSG00000165675.16	ENOX2
ENSG00000136636.13	KCTD3
ENSG00000077279.19	DCX
ENSG00000166167.18	BTRC
ENSG00000166840.13	GLYATL1
ENSG00000077312.9	SNRPA
ENSG00000198160.14	MIER1
ENSG00000182580.3	EPHB3
ENSG00000008130.15	NADK
ENSG00000144476.6	ACKR3
ENSG00000178568.15	ERBB4
ENSG00000197496.6	SLC2A10
ENSG00000135697.10	BCO1
ENSG00000151694.14	ADAM17
ENSG00000211659.2	IGLV3-25
ENSG00000179750.16	APOBEC3B
ENSG00000132744.8	ACY3
ENSG00000229314.5	ORM1
ENSG00000088726.16	TMEM40
ENSG00000213380.15	COG8
ENSG00000161036.13	LRWD1
ENSG00000110446.11	SLC15A3
ENSG00000154274.15	C4orf19
ENSG00000095059.16	DHPS
ENSG00000141570.11	CBX8
ENSG00000139200.13	PIANP
ENSG00000105372.8	RPS19
ENSG00000133401.16	PDZD2
ENSG00000156650.14	KAT6B
ENSG00000117477.12	CCDC181
ENSG00000132010.16	ZNF20
ENSG00000173548.9	SNX33
ENSG00000102007.11	PLP2
ENSG00000110799.13	VWF
ENSG00000080007.8	DDX43
ENSG00000137135.18	ARHGEF39
ENSG00000100092.23	SH3BP1
ENSG00000170385.10	SLC30A1
ENSG00000131871.15	SELENOS
ENSG00000171017.11	LRRC8E
ENSG00000171840.12	NINJ2
ENSG00000184867.14	ARMCX2
ENSG00000101191.17	DIDO1
ENSG00000112742.10	TTK
ENSG00000215018.10	COL28A1
ENSG00000198755.11	RPL10A
ENSG00000147650.11	LRP12
ENSG00000143546.10	S100A8
ENSG00000134326.11	CMPK2
ENSG00000151067.22	CACNA1C
ENSG00000156735.11	BAG4
ENSG00000104960.15	PTOV1
ENSG00000109332.20	UBE2D3
ENSG00000083067.22	TRPM3
ENSG00000177542.11	SLC25A22
ENSG00000143442.22	POGZ
ENSG00000159753.14	CARMIL2
ENSG00000137868.19	STRA6
ENSG00000166800.10	LDHAL6A
ENSG00000187210.14	GCNT1
ENSG00000105514.8	RAB3D
ENSG00000163041.12	H3F3A
ENSG00000158856.18	DMTN
ENSG00000172716.16	SLFN11
ENSG00000157036.13	EXOG
ENSG00000121904.17	CSMD2
ENSG00000185453.13	ZSWIM9
ENSG00000167244.21	IGF2
ENSG00000147669.11	POLR2K
ENSG00000084090.13	STARD7
ENSG00000162419.12	GMEB1
ENSG00000165714.11	BORCS5
ENSG00000134077.16	THUMPD3
ENSG00000130234.11	ACE2
ENSG00000244486.9	SCARF2
ENSG00000162105.19	SHANK2
ENSG00000104093.13	DMXL2
ENSG00000165124.18	SVEP1
ENSG00000130254.12	SAFB2
ENSG00000159450.12	TCHH
ENSG00000115415.20	STAT1
ENSG00000115457.10	IGFBP2
ENSG00000143786.8	CNIH3
ENSG00000111424.12	VDR
ENSG00000182809.11	CRIP2
ENSG00000110721.12	CHKA
ENSG00000124564.17	SLC17A3
ENSG00000115896.16	PLCL1
ENSG00000239839.7	DEFA3
ENSG00000002746.15	HECW1
ENSG00000100911.16	PSME2
ENSG00000004766.17	VPS50
ENSG00000257017.9	HP
ENSG00000070785.17	EIF2B3
ENSG00000155307.19	SAMSN1
ENSG00000174749.6	FAM241A
ENSG00000204560.10	DHX16
ENSG00000126561.16	STAT5A
ENSG00000138767.13	CNOT6L
ENSG00000163590.14	PPM1L
ENSG00000105245.9	NUMBL
ENSG00000143578.16	CREB3L4
ENSG00000154548.9	SRSF12
ENSG00000006327.14	TNFRSF12A
ENSG00000132155.12	RAF1
ENSG00000162599.17	NFIA
ENSG00000105877.18	DNAH11
ENSG00000151093.8	OXSM
ENSG00000163840.10	DTX3L
ENSG00000091490.11	SEL1L3
ENSG00000047936.10	ROS1
ENSG00000122707.12	RECK
ENSG00000248746.6	ACTN3
ENSG00000153563.15	CD8A
ENSG00000158636.16	EMSY
ENSG00000170522.9	ELOVL6
ENSG00000065154.12	OAT
ENSG00000119725.20	ZNF410
ENSG00000134504.14	KCTD1
ENSG00000180817.12	PPA1
ENSG00000165655.17	ZNF503
ENSG00000004660.15	CAMKK1
ENSG00000242802.9	AP5Z1
ENSG00000142621.19	FHAD1
ENSG00000174606.14	ANGEL2
ENSG00000167515.10	TRAPPC2L
ENSG00000185873.8	TMPRSS11B
ENSG00000185745.10	IFIT1
ENSG00000108523.16	RNF167
ENSG00000167414.4	GNG8
ENSG00000067533.6	RRP15
ENSG00000139160.13	ETFBKMT
ENSG00000157450.15	RNF111
ENSG00000115252.18	PDE1A
ENSG00000161021.13	MAML1
ENSG00000116729.14	WLS
ENSG00000186329.9	TMEM212
ENSG00000187479.8	C11orf96
