From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A0B4J2E5	A0A0B4J2E5	unreviewed	A0A0B4J2E5_HUMAN	Utp12 domain-containing protein	LOC102724159	Homo sapiens (Human)	919
A0A0B4J2F2	A0A0B4J2F2	reviewed	SIK1B_HUMAN	Putative serine/threonine-protein kinase SIK1B, EC 2.7.11.1 (Salt-inducible kinase 1B)	SIK1B	Homo sapiens (Human)	783
A0A0C4DFX4	A0A0C4DFX4	unreviewed	A0A0C4DFX4_HUMAN	Uncharacterized protein		Homo sapiens (Human)	3053
A0A0C4DH73	A0A0C4DH73	reviewed	KV112_HUMAN	Immunoglobulin kappa variable 1-12	IGKV1-12	Homo sapiens (Human)	117
A0A0G2JKD1	A0A0G2JKD1	unreviewed	A0A0G2JKD1_HUMAN	Mucin-21	MUC21	Homo sapiens (Human)	596
A0A0G2JMM0	A0A0G2JMM0	unreviewed	A0A0G2JMM0_HUMAN	Uncharacterized protein		Homo sapiens (Human)	328
A0A0G2JPF8	A0A0G2JPF8	unreviewed	A0A0G2JPF8_HUMAN	Heterogeneous nuclear ribonucleoprotein C-like 4	HNRNPCL4	Homo sapiens (Human)	293
A0A0G2JS52	A0A0G2JS52	unreviewed	A0A0G2JS52_HUMAN	Uncharacterized protein		Homo sapiens (Human)	829
A0A0J9YVX5	A0A0J9YVX5	unreviewed	A0A0J9YVX5_HUMAN	Uncharacterized protein		Homo sapiens (Human)	310
A0A0J9YX44	A0A0J9YX44	unreviewed	A0A0J9YX44_HUMAN	T cell receptor beta variable 5-5	TRBV5-5	Homo sapiens (Human)	114
A0A0J9YX86	A0A0J9YX86	unreviewed	A0A0J9YX86_HUMAN	Golgin subfamily A member 8Q	GOLGA8Q	Homo sapiens (Human)	632
A0A0M3HER8	A0A0M3HER8	unreviewed	A0A0M3HER8_HUMAN	Golgin subfamily A member 6-like protein 10	GOLGA6L10	Homo sapiens (Human)	536
A0A0U1RQJ8	A0A0U1RQJ8	unreviewed	A0A0U1RQJ8_HUMAN	ATR-interacting protein	ATRIP	Homo sapiens (Human)	604
A0A0U1RQV5	A0A0U1RQV5	unreviewed	A0A0U1RQV5_HUMAN	Uncharacterized protein		Homo sapiens (Human)	110
A0A0U1RRE5	A0A0U1RRE5	reviewed	NBDY_HUMAN	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	NBDY LINC01420	Homo sapiens (Human)	68
A0A140T8X8	A0A140T8X8	unreviewed	A0A140T8X8_HUMAN	Mucin-21	MUC21	Homo sapiens (Human)	626
A0A1B0GTI1	A0A1B0GTI1	reviewed	CC201_HUMAN	Coiled-coil domain-containing protein 201	CCDC201	Homo sapiens (Human)	187
A0A1B0GU03	A0A1B0GU03	unreviewed	A0A1B0GU03_HUMAN	Peptidase A1 domain-containing protein		Homo sapiens (Human)	582
A0A1B0GUL6	A0A1B0GUL6	unreviewed	A0A1B0GUL6_HUMAN	BTB/POZ domain-containing protein 8	BTBD8	Homo sapiens (Human)	1792
A0A1B0GUL7	A0A1B0GUL7	unreviewed	A0A1B0GUL7_HUMAN	Protein kinase domain-containing protein		Homo sapiens (Human)	405
A0A1B0GWB2	A0A1B0GWB2	reviewed	PRT1B_HUMAN	Proline rich transmembrane protein 1B	PRRT1B IFITMD8	Homo sapiens (Human)	263
A0A1B0GWG4	A0A1B0GWG4	reviewed	SRTM2_HUMAN	Serine-rich and transmembrane domain-containing 2	SERTM2	Homo sapiens (Human)	90
A0A1C7CYW4	A0A1C7CYW4	unreviewed	A0A1C7CYW4_HUMAN	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	349
A0A1W2PNV4	A0A1W2PNV4	unreviewed	A0A1W2PNV4_HUMAN	Uncharacterized protein		Homo sapiens (Human)	684
A0A1W2PPC1	A0A1W2PPC1	unreviewed	A0A1W2PPC1_HUMAN	Proline-rich protein 33	PRR33	Homo sapiens (Human)	479
A0A1W2PRX2	A0A1W2PRX2	unreviewed	A0A1W2PRX2_HUMAN	Uncharacterized protein		Homo sapiens (Human)	142
A0AUZ9	A0AUZ9	reviewed	KAL1L_HUMAN	KAT8 regulatory NSL complex subunit 1-like protein (MSL1v2)	KANSL1L C2orf67	Homo sapiens (Human)	987
A0AV02	A0AV02	reviewed	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	SLC12A8 CCC9	Homo sapiens (Human)	714
A0AV96	A0AV96	reviewed	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	593
A0AVK6	A0AVK6	reviewed	E2F8_HUMAN	Transcription factor E2F8, E2F-8	E2F8	Homo sapiens (Human)	867
A0AVT1	A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6, Ubiquitin-activating enzyme 6, EC 6.2.1.45 (Monocyte protein 4, MOP-4) (Ubiquitin-activating enzyme E1-like protein 2, E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052
A0FGR8	A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2, E-Syt2 (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921
A0FGR9	A0FGR9	reviewed	ESYT3_HUMAN	Extended synaptotagmin-3, E-Syt3 (Chr3Syt)	ESYT3 FAM62C	Homo sapiens (Human)	886
A0JLT2	A0JLT2	reviewed	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	MED19 LCMR1	Homo sapiens (Human)	244
A0JNW5	A0JNW5	reviewed	UH1BL_HUMAN	UHRF1-binding protein 1-like (Syntaxin-6 Habc-interacting protein of 164 kDa)	UHRF1BP1L KIAA0701 SHIP164	Homo sapiens (Human)	1464
A0MZ66	A0MZ66	reviewed	SHOT1_HUMAN	Shootin-1 (Shootin1)	SHTN1 KIAA1598	Homo sapiens (Human)	631
A0PJW8	A0PJW8	reviewed	DAPL1_HUMAN	Death-associated protein-like 1 (Early epithelial differentiation-associated protein)	DAPL1 EEDA	Homo sapiens (Human)	107
A1A4S6	A1A4S6	reviewed	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786
A1A5D9	A1A5D9	reviewed	BICL2_HUMAN	BICD family-like cargo adapter 2 (Bicaudal D-related protein 2, BICD-related protein 2, BICDR-2) (Coiled-coil domain-containing protein 64B)	BICDL2 BICDR2 CCDC64B	Homo sapiens (Human)	508
A1IGU5	A1IGU5	reviewed	ARH37_HUMAN	Rho guanine nucleotide exchange factor 37	ARHGEF37	Homo sapiens (Human)	675
A1KXE4	A1KXE4	reviewed	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor, Mani (p20)	FAM168B KIAA0280L MANI	Homo sapiens (Human)	195
A1L020	A1L020	reviewed	MEX3A_HUMAN	RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)	MEX3A RKHD4	Homo sapiens (Human)	520
A1L170	A1L170	reviewed	CA226_HUMAN	Uncharacterized protein C1orf226	C1orf226	Homo sapiens (Human)	272
A1L390	A1L390	reviewed	PKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3, PH domain-containing family G member 3	PLEKHG3 KIAA0599	Homo sapiens (Human)	1219
A1L4K1	A1L4K1	reviewed	FSD2_HUMAN	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)	FSD2 SPRYD1	Homo sapiens (Human)	749
A1X283	A1X283	reviewed	SPD2B_HUMAN	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	Homo sapiens (Human)	911
A1XBS5	A1XBS5	reviewed	CBAR1_HUMAN	CBY1-interacting BAR domain-containing protein 1	CIBAR1 FAM92A FAM92A1	Homo sapiens (Human)	289
A1YPR0	A1YPR0	reviewed	ZBT7C_HUMAN	Zinc finger and BTB domain-containing protein 7C (Affected by papillomavirus DNA integration in ME180 cells protein 1, APM-1) (Zinc finger and BTB domain-containing protein 36) (Zinc finger protein 857C)	ZBTB7C APM1 ZBTB36 ZNF857C	Homo sapiens (Human)	619
A2A2Y4	A2A2Y4	reviewed	FRMD3_HUMAN	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1, 4.1O)	FRMD3 EPB41L4O	Homo sapiens (Human)	597
A2A3K4	A2A3K4	reviewed	PTPC1_HUMAN	Protein tyrosine phosphatase domain-containing protein 1, EC 3.1.3.-	PTPDC1 PTP9Q22	Homo sapiens (Human)	754
A2A3N6	A2A3N6	reviewed	PIPSL_HUMAN	Putative PIP5K1A and PSMD4-like protein, PIP5K1A-PSMD4	PIPSL PSMD4P2	Homo sapiens (Human)	862
A2AJT9	A2AJT9	reviewed	BCLA3_HUMAN	BCLAF1 and THRAP3 family member 3	BCLAF3 CXorf23	Homo sapiens (Human)	711
A2RRP1	A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371
A2RU30	A2RU30	reviewed	TESP1_HUMAN	Protein TESPA1 (Thymocyte-expressed positive selection-associated protein 1)	TESPA1 KIAA0748 HSPC257	Homo sapiens (Human)	521
A2RU54	A2RU54	reviewed	HMX2_HUMAN	Homeobox protein HMX2 (Homeobox protein H6 family member 2)	HMX2	Homo sapiens (Human)	273
A2RU67	A2RU67	reviewed	F234B_HUMAN	Protein FAM234B	FAM234B KIAA1467	Homo sapiens (Human)	622
A2RUB6	A2RUB6	reviewed	CCD66_HUMAN	Coiled-coil domain-containing protein 66	CCDC66	Homo sapiens (Human)	948
A2RUS2	A2RUS2	reviewed	DEND3_HUMAN	DENN domain-containing protein 3	DENND3 KIAA0870	Homo sapiens (Human)	1198
A2VDJ0	A2VDJ0	reviewed	T131L_HUMAN	Transmembrane protein 131-like	TMEM131L KIAA0922	Homo sapiens (Human)	1609
A3KMH1	A3KMH1	reviewed	VWA8_HUMAN	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2, P7BP2)	VWA8 KIAA0564	Homo sapiens (Human)	1905
A3KN83	A3KN83	reviewed	SBNO1_HUMAN	Protein strawberry notch homolog 1 (Monocyte protein 3, MOP-3)	SBNO1 MOP3	Homo sapiens (Human)	1393
A4D161	A4D161	reviewed	F221A_HUMAN	Protein FAM221A	FAM221A C7orf46	Homo sapiens (Human)	298
A4D1P6	A4D1P6	reviewed	WDR91_HUMAN	WD repeat-containing protein 91	WDR91 HSPC049	Homo sapiens (Human)	747
A4D1S0	A4D1S0	reviewed	KLRG2_HUMAN	Killer cell lectin-like receptor subfamily G member 2 (C-type lectin domain family 15 member B)	KLRG2 CLEC15B	Homo sapiens (Human)	409
A4D2B0	A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1, EC 3.1.27.- (Endoribonuclease MBLAC1)	MBLAC1	Homo sapiens (Human)	266
A4D2H0	A4D2H0	reviewed	CTGEF_HUMAN	cTAGE family member 15, Protein cTAGE-15	CTAGE15 CTAGE15P	Homo sapiens (Human)	777
A4D2P6	A4D2P6	reviewed	GRD2I_HUMAN	Delphilin (Glutamate receptor, ionotropic, delta 2-interacting protein 1)	GRID2IP	Homo sapiens (Human)	1211
A4FU01	A4FU01	reviewed	MTMRB_HUMAN	Myotubularin-related protein 11 (Cisplatin resistance-associated protein, hCRA) (Inactive phosphatidylinositol 3-phosphatase 11)	MTMR11	Homo sapiens (Human)	709
A4FU49	A4FU49	reviewed	SH321_HUMAN	SH3 domain-containing protein 21	SH3D21 C1orf113	Homo sapiens (Human)	640
A4QPH2	A4QPH2	reviewed	PI4P2_HUMAN	Putative phosphatidylinositol 4-kinase alpha-like protein P2	PI4KAP2	Homo sapiens (Human)	592
A4UGR9	A4UGR9	reviewed	XIRP2_HUMAN	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	XIRP2 CMYA3	Homo sapiens (Human)	3374
A5A3E0	A5A3E0	reviewed	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	POTEF A26C1B	Homo sapiens (Human)	1075
A5PKW4	A5PKW4	reviewed	PSD1_HUMAN	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6, Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	Homo sapiens (Human)	1024
A5PL33	A5PL33	reviewed	KRBA1_HUMAN	Protein KRBA1	KRBA1 KIAA1862	Homo sapiens (Human)	1030
A5PLL1	A5PLL1	reviewed	AN34B_HUMAN	Ankyrin repeat domain-containing protein 34B	ANKRD34B	Homo sapiens (Human)	514
A5YKK6	A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog, NOT1H, hNOT1)	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376
A5YM69	A5YM69	reviewed	ARG35_HUMAN	Rho guanine nucleotide exchange factor 35 (Rho guanine nucleotide exchange factor 5-like protein)	ARHGEF35 ARHGEF5L	Homo sapiens (Human)	484
A6H8Y1	A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150, TFIIIB150) (Transcription factor-like nuclear regulator)	BDP1 KIAA1241 KIAA1689 TFNR	Homo sapiens (Human)	2624
A6NC98	A6NC98	reviewed	CC88B_HUMAN	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3, HkRP3)	CCDC88B BRLZ	Homo sapiens (Human)	1476
A6NCI8	A6NCI8	reviewed	CB078_HUMAN	Uncharacterized protein C2orf78	C2orf78	Homo sapiens (Human)	922
A6NCL7	A6NCL7	reviewed	AN33B_HUMAN	Ankyrin repeat domain-containing protein 33B	ANKRD33B	Homo sapiens (Human)	494
A6NCQ9	A6NCQ9	reviewed	RN222_HUMAN	RING finger protein 222	RNF222	Homo sapiens (Human)	220
A6NCS6	A6NCS6	reviewed	CB072_HUMAN	Uncharacterized protein C2orf72	C2orf72	Homo sapiens (Human)	295
A6ND36	A6ND36	reviewed	FA83G_HUMAN	Protein FAM83G (Protein associated with SMAD1)	FAM83G PAWS1	Homo sapiens (Human)	823
A6NDB9	A6NDB9	reviewed	PALM3_HUMAN	Paralemmin-3	PALM3	Homo sapiens (Human)	673
A6NDE4	A6NDE4	reviewed	RBY1B_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member B	RBMY1B	Homo sapiens (Human)	496
A6NDU8	A6NDU8	reviewed	RIMC1_HUMAN	RAB7A-interacting MON1-CCZ1 complex subunit 1 (UPF0600 protein C5orf51)	RIMOC1 C5orf51	Homo sapiens (Human)	294
A6NE02	A6NE02	reviewed	BTBDH_HUMAN	BTB/POZ domain-containing protein 17 (Galectin-3-binding protein-like)	BTBD17	Homo sapiens (Human)	478
A6NEL2	A6NEL2	reviewed	SWAHB_HUMAN	Ankyrin repeat domain-containing protein SOWAHB (Ankyrin repeat domain-containing protein 56) (Protein sosondowah homolog B)	SOWAHB ANKRD56	Homo sapiens (Human)	793
A6NEQ0	A6NEQ0	reviewed	RBY1E_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member E	RBMY1E	Homo sapiens (Human)	496
A6NF01	A6NF01	reviewed	P121B_HUMAN	Putative nuclear envelope pore membrane protein POM 121B	POM121B	Homo sapiens (Human)	834
A6NFI3	A6NFI3	reviewed	ZN316_HUMAN	Zinc finger protein 316	ZNF316	Homo sapiens (Human)	1004
A6NGB9	A6NGB9	reviewed	WIPF3_HUMAN	WAS/WASL-interacting protein family member 3 (Corticosteroids and regional expression protein 16 homolog)	WIPF3 CR16	Homo sapiens (Human)	483
A6NHQ4	A6NHQ4	reviewed	EPOP_HUMAN	Elongin BC and Polycomb repressive complex 2-associated protein (Proline-rich protein 28)	EPOP C17orf96 PRR28	Homo sapiens (Human)	379
A6NHR9	A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1, SMC hinge domain-containing protein 1, EC 3.6.1.-	SMCHD1 KIAA0650	Homo sapiens (Human)	2005
A6NHS7	A6NHS7	reviewed	MANS4_HUMAN	MANSC domain-containing protein 4	MANSC4	Homo sapiens (Human)	340
A6NHT5	A6NHT5	reviewed	HMX3_HUMAN	Homeobox protein HMX3 (Homeobox protein H6 family member 3) (Homeobox protein Nkx-5.1)	HMX3 NKX-5.1 NKX5-1	Homo sapiens (Human)	357
A6NI28	A6NI28	reviewed	RHG42_HUMAN	Rho GTPase-activating protein 42 (Rho GTPase-activating protein 10-like) (Rho-type GTPase-activating protein 42)	ARHGAP42 GRAF3 TMEM133	Homo sapiens (Human)	874
A6NI72	A6NI72	reviewed	NCF1B_HUMAN	Putative neutrophil cytosol factor 1B, NCF-1B (Putative SH3 and PX domain-containing protein 1B)	NCF1B SH3PXD1B	Homo sapiens (Human)	391
A6NIX2	A6NIX2	reviewed	WTIP_HUMAN	Wilms tumor protein 1-interacting protein, WT1-interacting protein	WTIP	Homo sapiens (Human)	430
A6NJ78	A6NJ78	reviewed	MET15_HUMAN	12S rRNA N4-methylcytidine (m4C) methyltransferase, 12S rRNA m4C methyltransferase, EC 2.1.1.- (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	METTL15 METT5D1	Homo sapiens (Human)	407
A6NJL1	A6NJL1	reviewed	ZSA5B_HUMAN	Zinc finger and SCAN domain-containing protein 5B	ZSCAN5B	Homo sapiens (Human)	495
A6NJU9	A6NJU9	reviewed	NPB13_HUMAN	Nuclear pore complex-interacting protein family member B13	NPIPB13	Homo sapiens (Human)	1138
A6NJZ7	A6NJZ7	reviewed	RIM3C_HUMAN	RIMS-binding protein 3C, RIM-BP3.C (RIMS-binding protein 3.3, RIM-BP3.3)	RIMBP3C	Homo sapiens (Human)	1639
A6NKD9	A6NKD9	reviewed	CC85C_HUMAN	Coiled-coil domain-containing protein 85C	CCDC85C	Homo sapiens (Human)	419
A6NKG5	A6NKG5	reviewed	RTL1_HUMAN	Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11)	RTL1 MAR1 MART1 PEG11	Homo sapiens (Human)	1358
A6NKN8	A6NKN8	reviewed	PC4L1_HUMAN	Purkinje cell protein 4-like protein 1, PCP4-like protein 1	PCP4L1 IQM1	Homo sapiens (Human)	68
A6NKT7	A6NKT7	reviewed	RGPD3_HUMAN	RanBP2-like and GRIP domain-containing protein 3	RGPD3 RGP3	Homo sapiens (Human)	1758
A6NM28	A6NM28	reviewed	ZFP92_HUMAN	Zinc finger protein 92 homolog, Zfp-92	ZFP92	Homo sapiens (Human)	416
A6NMD2	A6NMD2	reviewed	GOG8J_HUMAN	Golgin subfamily A member 8J	GOLGA8J	Homo sapiens (Human)	632
A6NMK8	A6NMK8	reviewed	INY2B_HUMAN	Protein INSYN2B (Inhibitory synaptic factor family member 2B)	INSYN2B C5orf57 FAM196B	Homo sapiens (Human)	535
A6NMY6	A6NMY6	reviewed	AXA2L_HUMAN	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	ANXA2P2 ANX2L2 ANX2P2 LPC2B	Homo sapiens (Human)	339
A6NNA2	A6NNA2	reviewed	SRRM3_HUMAN	Serine/arginine repetitive matrix protein 3	SRRM3	Homo sapiens (Human)	597
A6NNM3	A6NNM3	reviewed	RIM3B_HUMAN	RIMS-binding protein 3B, RIM-BP3.B (RIMS-binding protein 3.2, RIM-BP3.2)	RIMBP3B	Homo sapiens (Human)	1639
A6QL63	A6QL63	reviewed	BTBDB_HUMAN	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 (BTB/POZ domain-containing protein 11)	BTBD11	Homo sapiens (Human)	1104
A6QL64	A6QL64	reviewed	AN36A_HUMAN	Ankyrin repeat domain-containing protein 36A	ANKRD36 ANKRD36A KIAA1641 UNQ2430/PRO499	Homo sapiens (Human)	1915
A7E2V4	A7E2V4	reviewed	ZSWM8_HUMAN	Zinc finger SWIM domain-containing protein 8	ZSWIM8 KIAA0913	Homo sapiens (Human)	1837
A7E2Y1	A7E2Y1	reviewed	MYH7B_HUMAN	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)	MYH7B KIAA1512	Homo sapiens (Human)	1983
A7KAX9	A7KAX9	reviewed	RHG32_HUMAN	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087
A7MBM2	A7MBM2	reviewed	DISP2_HUMAN	Protein dispatched homolog 2	DISP2 C15orf36 DISPB KIAA1742 LINC00594	Homo sapiens (Human)	1401
A7MCY6	A7MCY6	reviewed	TBKB1_HUMAN	TANK-binding kinase 1-binding protein 1, TBK1-binding protein 1	TBKBP1 KIAA0775 SINTBAD	Homo sapiens (Human)	615
A7XYQ1	A7XYQ1	reviewed	SOBP_HUMAN	Sine oculis-binding protein homolog (Jackson circler protein 1)	SOBP JXC1	Homo sapiens (Human)	873
A8CG34	A8CG34	reviewed	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2, POM121-2) (Pore membrane protein of 121 kDa C)	POM121C	Homo sapiens (Human)	1229
A8K0R7	A8K0R7	reviewed	ZN839_HUMAN	Zinc finger protein 839 (Renal carcinoma antigen NY-REN-50)	ZNF839 C14orf131	Homo sapiens (Human)	811
A8K0Z3	A8K0Z3	reviewed	WASH1_HUMAN	WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)	WASHC1 FAM39E WASH1	Homo sapiens (Human)	465
A8K855	A8K855	reviewed	EFCB7_HUMAN	EF-hand calcium-binding domain-containing protein 7	EFCAB7 KIAA1799	Homo sapiens (Human)	629
A8K979	A8K979	reviewed	ERI2_HUMAN	ERI1 exoribonuclease 2, EC 3.1.-.- (Exonuclease domain-containing protein 1)	ERI2 EXOD1 KIAA1504	Homo sapiens (Human)	691
A8KAH6	A8KAH6	unreviewed	A8KAH6_HUMAN	Heat shock 27kDa protein 2, isoform CRA_a (Heat-shock protein beta-2) (Protein HSPB2-C11orf52) (cDNA FLJ77220, highly similar to Homo sapiens heat shock 27kDa protein 2 (HSPB2), mRNA)	HSPB2-C11orf52 HSPB2 hCG_39461	Homo sapiens (Human)	182
A8MPP1	A8MPP1	reviewed	D11L8_HUMAN	Putative ATP-dependent RNA helicase DDX11-like protein 8, EC 3.6.4.13 (DEAD/H box protein 11-like 8)	DDX11L8	Homo sapiens (Human)	907
A8MQ03	A8MQ03	reviewed	CRTP1_HUMAN	Cysteine-rich tail protein 1	CYSRT1 C9orf169	Homo sapiens (Human)	144
A8MRT5	A8MRT5	reviewed	NPIB5_HUMAN	Nuclear pore complex-interacting protein family member B5	NPIPB5	Homo sapiens (Human)	1133
A8MSY1	A8MSY1	unreviewed	A8MSY1_HUMAN	Musculoskeletal embryonic nuclear protein 1	STIMATE-MUSTN1	Homo sapiens (Human)	372
