ENSG00000105939	ZC3HAV1
ENSG00000197724	PHF2
ENSG00000126351	THRA
ENSG00000131711	MAP1B
ENSG00000182872	RBM10
ENSG00000169813	HNRNPF
ENSG00000099331	MYO9B
ENSG00000153922	CHD1
ENSG00000165959	CLMN
ENSG00000139613	SMARCC2
ENSG00000102225	CDK16
ENSG00000213402	PTPRCAP
ENSG00000114331	ACAP2
ENSG00000011451	WIZ
ENSG00000076826	CAMSAP3
ENSG00000074800	ENO1
ENSG00000164715	LMTK2
ENSG00000082397	EPB41L3
ENSG00000146872	TLK2
ENSG00000137812	KNL1
ENSG00000151208	DLG5
ENSG00000155093	PTPRN2
ENSG00000144747	TMF1
ENSG00000156711	MAPK13
ENSG00000102760	RGCC
ENSG00000196935	SRGAP1
ENSG00000266412	NCOA4
ENSG00000101413	RPRD1B
ENSG00000100625	SIX4
ENSG00000172534	HCFC1
ENSG00000079691	CARMIL1
ENSG00000117724	CENPF
ENSG00000116711	PLA2G4A
ENSG00000167601	AXL
ENSG00000088367	EPB41L1
ENSG00000154548	SRSF12
ENSG00000275700	AATF
ENSG00000113282	CLINT1
ENSG00000111057	KRT18
ENSG00000155561	NUP205
ENSG00000079102	RUNX1T1
ENSG00000151690	MFSD6
ENSG00000105699	LSR
ENSG00000159216	RUNX1
ENSG00000149474	KAT14
ENSG00000162614	NEXN
ENSG00000174891	RSRC1
ENSG00000116991	SIPA1L2
ENSG00000129351	ILF3
ENSG00000135250	SRPK2
ENSG00000148396	SEC16A
ENSG00000148516	ZEB1
ENSG00000110274	CEP164
ENSG00000167257	RNF214
ENSG00000003756	RBM5
ENSG00000180370	PAK2
ENSG00000118900	UBN1
ENSG00000198824	CHAMP1
ENSG00000133858	ZFC3H1
ENSG00000002549	LAP3
ENSG00000138785	INTS12
ENSG00000185567	AHNAK2
ENSG00000099889	ARVCF
ENSG00000171560	FGA
ENSG00000171992	SYNPO
ENSG00000197321	SVIL
ENSG00000198492	YTHDF2
ENSG00000077549	CAPZB
ENSG00000009954	BAZ1B
ENSG00000275342	PRAG1
ENSG00000130158	DOCK6
ENSG00000078674	PCM1
ENSG00000141027	NCOR1
ENSG00000169291	SHE
ENSG00000065060	UHRF1BP1
ENSG00000126822	PLEKHG3
ENSG00000106772	PRUNE2
ENSG00000112578	BYSL
ENSG00000046604	DSG2
ENSG00000169057	MECP2
ENSG00000277443	MARCKS
ENSG00000163539	CLASP2
ENSG00000010671	BTK
ENSG00000099331	MYO9B
ENSG00000135439	AGAP2
ENSG00000143702	CEP170
ENSG00000159140	SON
ENSG00000242372	EIF6
ENSG00000135720	DYNC1LI2
ENSG00000132688	NES
ENSG00000138771	SHROOM3
ENSG00000110075	PPP6R3
ENSG00000101079	NDRG3
ENSG00000130816	DNMT1
ENSG00000081154	PCNP
ENSG00000078018	MAP2
ENSG00000089639	GMIP
ENSG00000092054	MYH7
ENSG00000164061	BSN
ENSG00000143157	POGK
ENSG00000153201	RANBP2
ENSG00000151748	SAV1
ENSG00000172403	SYNPO2
ENSG00000163788	SNRK
ENSG00000143155	TIPRL
ENSG00000130559	CAMSAP1
ENSG00000080345	RIF1
ENSG00000166004	CEP295
ENSG00000154229	PRKCA
ENSG00000182247	UBE2E2
ENSG00000105355	PLIN3
ENSG00000114982	KANSL3
ENSG00000104447	TRPS1
ENSG00000065526	SPEN
ENSG00000162402	USP24
ENSG00000162613	FUBP1
ENSG00000100784	RPS6KA5
ENSG00000155827	RNF20
ENSG00000109654	TRIM2
ENSG00000113810	SMC4
ENSG00000166477	LEO1
ENSG00000115306	SPTBN1
ENSG00000118785	SPP1
ENSG00000186081	KRT5
ENSG00000065613	SLK
ENSG00000139154	AEBP2
ENSG00000126088	UROD
ENSG00000213672	NCKIPSD
ENSG00000156482	RPL30
ENSG00000173575	CHD2
ENSG00000215041	NEURL4
ENSG00000167548	KMT2D
ENSG00000094880	CDC23
ENSG00000055147	FAM114A2
ENSG00000132694	ARHGEF11
ENSG00000060138	YBX3
ENSG00000099968	BCL2L13
ENSG00000153107	ANAPC1
ENSG00000189410	SH2D5
ENSG00000154822	PLCL2
ENSG00000163961	RNF168
ENSG00000198142	SOWAHC
ENSG00000125818	PSMF1
ENSG00000072041	SLC6A15
ENSG00000139746	RBM26
ENSG00000085719	CPNE3
ENSG00000183644	C11orf88
ENSG00000164985	PSIP1
ENSG00000116584	ARHGEF2
ENSG00000273749	CYFIP1
ENSG00000127124	HIVEP3
ENSG00000106415	GLCCI1
ENSG00000072110	ACTN1
ENSG00000114805	PLCH1
ENSG00000002746	HECW1
ENSG00000118058	KMT2A
ENSG00000112739	PRPF4B
ENSG00000103404	USP31
ENSG00000170322	NFRKB
ENSG00000100014	SPECC1L
ENSG00000141644	MBD1
ENSG00000072195	SPEG
ENSG00000080493	SLC4A4
ENSG00000114346	ECT2
ENSG00000063046	EIF4B
ENSG00000158023	WDR66
ENSG00000185340	GAS2L1
ENSG00000180900	SCRIB
ENSG00000103994	ZNF106
ENSG00000008056	SYN1
ENSG00000255587	RAB44
ENSG00000119969	HELLS
ENSG00000188176	SMTNL2
ENSG00000112658	SRF
ENSG00000125772	GPCPD1
ENSG00000065328	MCM10
ENSG00000080493	SLC4A4
ENSG00000138080	EMILIN1
ENSG00000164061	BSN
ENSG00000120910	PPP3CC
ENSG00000101605	MYOM1
ENSG00000161547	SRSF2
ENSG00000079308	TNS1
ENSG00000179335	CLK3
ENSG00000132424	PNISR
ENSG00000131016	AKAP12
ENSG00000178209	PLEC
ENSG00000075568	TMEM131
ENSG00000139890	REM2
ENSG00000123485	HJURP
ENSG00000168066	SF1
ENSG00000133816	MICAL2
ENSG00000124942	AHNAK
ENSG00000115306	SPTBN1
ENSG00000077150	NFKB2
ENSG00000119778	ATAD2B
ENSG00000153560	UBP1
ENSG00000163820	FYCO1
ENSG00000122512	PMS2
ENSG00000273841	TAF9
ENSG00000100345	MYH9
ENSG00000204569	PPP1R10
ENSG00000196199	MPHOSPH8
ENSG00000109171	SLAIN2
ENSG00000178209	PLEC
ENSG00000102241	HTATSF1
ENSG00000123143	PKN1
ENSG00000196504	PRPF40A
ENSG00000083168	KAT6A
ENSG00000136531	SCN2A
ENSG00000179604	CDC42EP4
ENSG00000100239	PPP6R2
ENSG00000140632	GLYR1
ENSG00000130749	ZC3H4
ENSG00000106078	COBL
ENSG00000054654	SYNE2
ENSG00000129116	PALLD
ENSG00000099968	BCL2L13
ENSG00000070814	TCOF1
ENSG00000069329	VPS35
ENSG00000131584	ACAP3
ENSG00000125703	ATG4C
ENSG00000151239	TWF1
ENSG00000167670	CHAF1A
ENSG00000136631	VPS45
ENSG00000166477	LEO1
ENSG00000112739	PRPF4B
ENSG00000213079	SCAF8
ENSG00000145214	DGKQ
ENSG00000197226	TBC1D9B
ENSG00000073910	FRY
ENSG00000067225	PKM
ENSG00000159592	GPBP1L1
ENSG00000014123	UFL1
ENSG00000172661	WASHC2C
ENSG00000174373	RALGAPA1
ENSG00000100604	CHGA
ENSG00000047644	WWC3
ENSG00000125686	MED1
ENSG00000173898	SPTBN2
ENSG00000113742	CPEB4
ENSG00000166341	DCHS1
ENSG00000196531	NACA
ENSG00000148396	SEC16A
ENSG00000144554	FANCD2
ENSG00000151502	VPS26B
ENSG00000055609	KMT2C
ENSG00000155506	LARP1
ENSG00000096696	DSP
ENSG00000099814	CEP170B
ENSG00000005483	KMT2E
ENSG00000106772	PRUNE2
ENSG00000166165	CKB
ENSG00000048649	RSF1
ENSG00000115504	EHBP1
ENSG00000131711	MAP1B
ENSG00000070047	PHRF1
ENSG00000167264	DUS2
ENSG00000114805	PLCH1
ENSG00000118200	CAMSAP2
ENSG00000060237	WNK1
ENSG00000147799	ARHGAP39
ENSG00000198087	CD2AP
ENSG00000143373	ZNF687
ENSG00000187642	PERM1
ENSG00000149269	PAK1
ENSG00000124942	AHNAK
ENSG00000159166	LAD1
ENSG00000076108	BAZ2A
ENSG00000047849	MAP4
ENSG00000134909	ARHGAP32
ENSG00000176018	LYSMD3
ENSG00000091436	MAP3K20
ENSG00000054118	THRAP3
ENSG00000103994	ZNF106
ENSG00000178209	PLEC
ENSG00000158321	AUTS2
ENSG00000165512	ZNF22
ENSG00000215271	HOMEZ
ENSG00000167978	SRRM2
ENSG00000126778	SIX1
ENSG00000106443	PHF14
ENSG00000163166	IWS1
ENSG00000169251	NMD3
ENSG00000100697	DICER1
ENSG00000177600	RPLP2
ENSG00000198730	CTR9
ENSG00000135540	NHSL1
ENSG00000100395	L3MBTL2
ENSG00000165757	JCAD
ENSG00000152242	C18orf25
ENSG00000179295	PTPN11
ENSG00000115234	SNX17
ENSG00000170776	AKAP13
ENSG00000198821	CD247
ENSG00000137656	BUD13
ENSG00000120334	CENPL
ENSG00000131711	MAP1B
ENSG00000205220	PSMB10
ENSG00000196935	SRGAP1
ENSG00000158545	ZC3H18
ENSG00000168959	GRM5
ENSG00000131711	MAP1B
ENSG00000118058	KMT2A
ENSG00000073050	XRCC1
ENSG00000184481	FOXO4
ENSG00000141030	COPS3
ENSG00000226321	CROCC2
ENSG00000178718	RPP25
ENSG00000166025	AMOTL1
ENSG00000130479	MAP1S
ENSG00000165757	JCAD
ENSG00000096696	DSP
ENSG00000196419	XRCC6
ENSG00000113580	NR3C1
ENSG00000169641	LUZP1
ENSG00000118900	UBN1
ENSG00000125730	C3
ENSG00000135631	RAB11FIP5
ENSG00000146648	EGFR
ENSG00000100603	SNW1
ENSG00000112983	BRD8
ENSG00000164535	DAGLB
ENSG00000166197	NOLC1
ENSG00000157423	HYDIN
ENSG00000197576	HOXA4
ENSG00000177675	CD163L1
ENSG00000158092	NCK1
ENSG00000131711	MAP1B
ENSG00000075391	RASAL2
ENSG00000101577	LPIN2
ENSG00000162402	USP24
ENSG00000080493	SLC4A4
ENSG00000136504	KAT7
ENSG00000048707	VPS13D
ENSG00000165819	METTL3
ENSG00000198824	CHAMP1
ENSG00000167861	HID1
ENSG00000165757	JCAD
ENSG00000111110	PPM1H
ENSG00000105568	PPP2R1A
ENSG00000099797	TECR
ENSG00000107863	ARHGAP21
ENSG00000135631	RAB11FIP5
ENSG00000143442	POGZ
ENSG00000178209	PLEC
ENSG00000197555	SIPA1L1
ENSG00000163104	SMARCAD1
ENSG00000142798	HSPG2
ENSG00000136111	TBC1D4
ENSG00000283632	EXOC3L2
ENSG00000104856	RELB
ENSG00000100599	RIN3
ENSG00000078142	PIK3C3
ENSG00000078018	MAP2
ENSG00000123200	ZC3H13
ENSG00000110400	NECTIN1
ENSG00000170145	SIK2
ENSG00000106462	EZH2
ENSG00000139218	SCAF11
ENSG00000169554	ZEB2
ENSG00000239306	RBM14
ENSG00000150347	ARID5B
ENSG00000169057	MECP2
ENSG00000124789	NUP153
ENSG00000127603	MACF1
ENSG00000155792	DEPTOR
ENSG00000111647	UHRF1BP1L
ENSG00000076382	SPAG5
ENSG00000187866	FAM122A
ENSG00000134852	CLOCK
ENSG00000129422	MTUS1
ENSG00000087365	SF3B2
ENSG00000124942	AHNAK
ENSG00000130402	ACTN4
ENSG00000144283	PKP4
ENSG00000124942	AHNAK
ENSG00000107833	NPM3
ENSG00000058272	PPP1R12A
ENSG00000172943	PHF8
ENSG00000115896	PLCL1
ENSG00000120913	PDLIM2
ENSG00000173575	CHD2
ENSG00000197077	KIAA1671
ENSG00000118785	SPP1
ENSG00000156504	FAM122B
ENSG00000187583	PLEKHN1
ENSG00000100242	SUN2
ENSG00000004700	RECQL
ENSG00000204590	GNL1
ENSG00000275342	PRAG1
ENSG00000078018	MAP2
ENSG00000104517	UBR5
ENSG00000133226	SRRM1
ENSG00000165480	SKA3
ENSG00000188986	NELFB
ENSG00000163563	MNDA
ENSG00000112473	SLC39A7
ENSG00000105486	LIG1
ENSG00000130939	UBE4B
ENSG00000110514	MADD
ENSG00000132780	NASP
ENSG00000050405	LIMA1
ENSG00000069020	MAST4
ENSG00000099625	CBARP
ENSG00000196405	EVL
ENSG00000197102	DYNC1H1
ENSG00000153201	RANBP2
ENSG00000167978	SRRM2
ENSG00000188486	H2AFX
ENSG00000136531	SCN2A
ENSG00000153048	CARHSP1
ENSG00000080845	DLGAP4
ENSG00000130749	ZC3H4
ENSG00000130305	NSUN5
ENSG00000107099	DOCK8
ENSG00000082438	COBLL1
ENSG00000151458	ANKRD50
ENSG00000155926	SLA
ENSG00000205937	RNPS1
ENSG00000116017	ARID3A
ENSG00000165684	SNAPC4
ENSG00000198160	MIER1
ENSG00000162522	KIAA1522
ENSG00000109089	CDR2L
ENSG00000112062	MAPK14
ENSG00000126464	PRR12
ENSG00000082175	PGR
ENSG00000124942	AHNAK
ENSG00000196712	NF1
ENSG00000186174	BCL9L
ENSG00000132669	RIN2
ENSG00000198646	NCOA6
ENSG00000131016	AKAP12
ENSG00000213445	SIPA1
ENSG00000136940	PDCL
ENSG00000186174	BCL9L
ENSG00000169083	AR
ENSG00000176092	CRYBG2
ENSG00000162775	RBM15
ENSG00000109686	SH3D19
ENSG00000186517	ARHGAP30
ENSG00000113742	CPEB4
ENSG00000029534	ANK1
ENSG00000169957	ZNF768
ENSG00000196935	SRGAP1
ENSG00000149930	TAOK2
ENSG00000107263	RAPGEF1
ENSG00000159140	SON
ENSG00000122966	CIT
ENSG00000174485	DENND4A
ENSG00000058272	PPP1R12A
ENSG00000143190	POU2F1
ENSG00000067369	TP53BP1
ENSG00000103365	GGA2
ENSG00000105185	PDCD5
ENSG00000162302	RPS6KA4
ENSG00000173230	GOLGB1
ENSG00000054267	ARID4B
ENSG00000159023	EPB41
ENSG00000106290	TAF6
ENSG00000144589	STK11IP
ENSG00000139620	KANSL2
ENSG00000064102	INTS13
ENSG00000067369	TP53BP1
ENSG00000100664	EIF5
ENSG00000145833	DDX46
ENSG00000068394	GPKOW
ENSG00000167674	HDGFL2
ENSG00000162775	RBM15
ENSG00000111011	RSRC2
ENSG00000076984	MAP2K7
ENSG00000168916	ZNF608
ENSG00000131711	MAP1B
ENSG00000138162	TACC2
ENSG00000167978	SRRM2
ENSG00000060237	WNK1
ENSG00000141127	PRPSAP2
ENSG00000134250	NOTCH2
ENSG00000080493	SLC4A4
ENSG00000173120	KDM2A
ENSG00000109805	NCAPG
ENSG00000185963	BICD2
ENSG00000163399	ATP1A1
ENSG00000196924	FLNA
ENSG00000184060	ADAP2
ENSG00000079308	TNS1
ENSG00000144635	DYNC1LI1
ENSG00000143970	ASXL2
ENSG00000102241	HTATSF1
ENSG00000140057	AK7
ENSG00000168769	TET2
ENSG00000197555	SIPA1L1
ENSG00000079308	TNS1
ENSG00000161526	SAP30BP
ENSG00000060339	CCAR1
ENSG00000198780	FAM169A
ENSG00000074054	CLASP1
ENSG00000136280	CCM2
ENSG00000167978	SRRM2
ENSG00000137497	NUMA1
ENSG00000068796	KIF2A
ENSG00000181555	SETD2
ENSG00000143337	TOR1AIP1
ENSG00000105357	MYH14
ENSG00000158161	EYA3
ENSG00000107625	DDX50
ENSG00000106948	AKNA
ENSG00000038219	BOD1L1
ENSG00000163166	IWS1
ENSG00000099942	CRKL
ENSG00000079277	MKNK1
ENSG00000103266	STUB1
ENSG00000188559	RALGAPA2
ENSG00000065609	SNAP91
ENSG00000125686	MED1
ENSG00000227345	PARG
ENSG00000110237	ARHGEF17
ENSG00000135597	REPS1
ENSG00000158941	CCAR2
ENSG00000136279	DBNL
ENSG00000100442	FKBP3
ENSG00000115977	AAK1
ENSG00000029534	ANK1
ENSG00000133401	PDZD2
ENSG00000180357	ZNF609
ENSG00000102901	CENPT
ENSG00000069011	PITX1
ENSG00000148468	FAM171A1
ENSG00000105939	ZC3HAV1
ENSG00000136770	DNAJC1
ENSG00000213593	TMX2
ENSG00000078018	MAP2
ENSG00000131016	AKAP12
ENSG00000139083	ETV6
ENSG00000188641	DPYD
ENSG00000120733	KDM3B
ENSG00000196367	TRRAP
ENSG00000137337	MDC1
ENSG00000178053	MLF1
ENSG00000121057	AKAP1
ENSG00000064607	SUGP2
ENSG00000005175	RPAP3
ENSG00000102024	PLS3
ENSG00000118412	CASP8AP2
ENSG00000092847	AGO1
ENSG00000179912	R3HDM2
ENSG00000081277	PKP1
ENSG00000204590	GNL1
ENSG00000128731	HERC2
ENSG00000177380	PPFIA3
ENSG00000154305	MIA3
ENSG00000170471	RALGAPB
ENSG00000128683	GAD1
ENSG00000138347	MYPN
ENSG00000148429	USP6NL
ENSG00000090020	SLC9A1
ENSG00000101596	SMCHD1
ENSG00000080503	SMARCA2
ENSG00000085224	ATRX
ENSG00000153071	DAB2
ENSG00000153922	CHD1
ENSG00000102241	HTATSF1
ENSG00000068120	COASY
ENSG00000163166	IWS1
ENSG00000158941	CCAR2
ENSG00000101871	MID1
ENSG00000099917	MED15
ENSG00000067369	TP53BP1
ENSG00000079432	CIC
ENSG00000129351	ILF3
ENSG00000102098	SCML2
ENSG00000088387	DOCK9
ENSG00000163697	APBB2
ENSG00000153207	AHCTF1
ENSG00000147874	HAUS6
ENSG00000065534	MYLK
ENSG00000070366	SMG6
ENSG00000140464	PML
ENSG00000136527	TRA2B
ENSG00000152242	C18orf25
ENSG00000087206	UIMC1
ENSG00000144635	DYNC1LI1
ENSG00000163071	SPATA18
ENSG00000171490	RSL1D1
ENSG00000169291	SHE
ENSG00000160877	NACC1
ENSG00000130723	PRRC2B
ENSG00000144747	TMF1
ENSG00000122257	RBBP6
ENSG00000186081	KRT5
ENSG00000144161	ZC3H8
ENSG00000176208	ATAD5
ENSG00000167978	SRRM2
ENSG00000204469	PRRC2A
ENSG00000077150	NFKB2
ENSG00000163209	SPRR3
ENSG00000163071	SPATA18
ENSG00000114857	NKTR
ENSG00000141644	MBD1
ENSG00000167670	CHAF1A
ENSG00000115241	PPM1G
ENSG00000136155	SCEL
ENSG00000076641	PAG1
ENSG00000102900	NUP93
ENSG00000196781	TLE1
ENSG00000110172	CHORDC1
ENSG00000167548	KMT2D
ENSG00000151474	FRMD4A
ENSG00000148840	PPRC1
ENSG00000120549	KIAA1217
ENSG00000219607	PPP1R3G
ENSG00000013441	CLK1
ENSG00000104885	DOT1L
ENSG00000011426	ANLN
ENSG00000162105	SHANK2
ENSG00000076826	CAMSAP3
ENSG00000161526	SAP30BP
ENSG00000180921	FAM83H
ENSG00000197971	MBP
ENSG00000087206	UIMC1
ENSG00000056277	ZNF280C
ENSG00000186081	KRT5
ENSG00000243156	MICAL3
ENSG00000169499	PLEKHA2
ENSG00000179361	ARID3B
ENSG00000122367	LDB3
ENSG00000145362	ANK2
ENSG00000138398	PPIG
ENSG00000167978	SRRM2
ENSG00000131016	AKAP12
ENSG00000242247	ARFGAP3
ENSG00000100226	GTPBP1
ENSG00000127152	BCL11B
ENSG00000145362	ANK2
ENSG00000100345	MYH9
ENSG00000118412	CASP8AP2
ENSG00000075275	CELSR1
ENSG00000138593	SECISBP2L
ENSG00000079308	TNS1
ENSG00000116350	SRSF4
ENSG00000133401	PDZD2
ENSG00000197102	DYNC1H1
ENSG00000115232	ITGA4
ENSG00000129116	PALLD
ENSG00000141027	NCOR1
ENSG00000153113	CAST
ENSG00000119280	C1orf198
ENSG00000156273	BACH1
ENSG00000136167	LCP1
ENSG00000198752	CDC42BPB
ENSG00000107186	MPDZ
ENSG00000151208	DLG5
ENSG00000119669	IRF2BPL
ENSG00000131381	RBSN
ENSG00000132694	ARHGEF11
ENSG00000164741	DLC1
ENSG00000112685	EXOC2
ENSG00000109320	NFKB1
ENSG00000136111	TBC1D4
ENSG00000146670	CDCA5
ENSG00000152242	C18orf25
ENSG00000005810	MYCBP2
ENSG00000198216	CACNA1E
ENSG00000162302	RPS6KA4
ENSG00000168916	ZNF608
ENSG00000140577	CRTC3
ENSG00000135525	MAP7
ENSG00000035928	RFC1
ENSG00000124942	AHNAK
ENSG00000074590	NUAK1
ENSG00000138639	ARHGAP24
ENSG00000038382	TRIO
ENSG00000136531	SCN2A
ENSG00000134186	PRPF38B
ENSG00000085224	ATRX
ENSG00000164116	GUCY1A1
ENSG00000197217	ENTPD4
ENSG00000180263	FGD6
ENSG00000112186	CAP2
ENSG00000198752	CDC42BPB
ENSG00000076248	UNG
ENSG00000129675	ARHGEF6
ENSG00000106415	GLCCI1
ENSG00000241973	PI4KA
ENSG00000135392	DNAJC14
ENSG00000167978	SRRM2
ENSG00000119900	OGFRL1
ENSG00000110934	BIN2
ENSG00000058335	RASGRF1
ENSG00000108798	ABI3
ENSG00000105063	PPP6R1
ENSG00000115241	PPM1G
ENSG00000143756	FBXO28
ENSG00000169122	FAM110B
ENSG00000047410	TPR
ENSG00000129347	KRI1
ENSG00000163104	SMARCAD1
ENSG00000170921	TANC2
ENSG00000124357	NAGK
ENSG00000123240	OPTN
ENSG00000060237	WNK1
ENSG00000054118	THRAP3
ENSG00000184640	SEPT9
ENSG00000138771	SHROOM3
ENSG00000100968	NFATC4
ENSG00000186625	KATNA1
ENSG00000277443	MARCKS
ENSG00000091039	OSBPL8
ENSG00000115806	GORASP2
ENSG00000148143	ZNF462
ENSG00000050405	LIMA1
ENSG00000187514	PTMA
ENSG00000116871	MAP7D1
ENSG00000116141	MARK1
ENSG00000120278	PLEKHG1
ENSG00000079156	OSBPL6
ENSG00000080345	RIF1
ENSG00000070814	TCOF1
ENSG00000129351	ILF3
ENSG00000142864	SERBP1
ENSG00000155380	SLC16A1
ENSG00000124151	NCOA3
ENSG00000074800	ENO1
ENSG00000008277	ADAM22
ENSG00000161904	LEMD2
ENSG00000176619	LMNB2
ENSG00000104856	RELB
ENSG00000011083	SLC6A7
ENSG00000131236	CAP1
ENSG00000122691	TWIST1
ENSG00000139767	SRRM4
ENSG00000105523	FAM83E
ENSG00000079691	CARMIL1
ENSG00000038219	BOD1L1
ENSG00000039560	RAI14
ENSG00000182872	RBM10
ENSG00000010818	HIVEP2
ENSG00000143793	C1orf35
ENSG00000167548	KMT2D
ENSG00000114850	SSR3
ENSG00000124942	AHNAK
ENSG00000176788	BASP1
ENSG00000112851	ERBIN
ENSG00000100241	SBF1
ENSG00000198589	LRBA
ENSG00000085224	ATRX
ENSG00000174718	KIAA1551
ENSG00000099308	MAST3
ENSG00000112739	PRPF4B
ENSG00000110756	HPS5
ENSG00000152661	GJA1
ENSG00000163516	ANKZF1
ENSG00000054118	THRAP3
ENSG00000123159	GIPC1
ENSG00000188112	C6orf132
ENSG00000151150	ANK3
ENSG00000011451	WIZ
ENSG00000120278	PLEKHG1
ENSG00000067369	TP53BP1
ENSG00000127511	SIN3B
ENSG00000164548	TRA2A
ENSG00000052749	RRP12
ENSG00000176890	TYMS
ENSG00000164070	HSPA4L
ENSG00000188158	NHS
ENSG00000105173	CCNE1
ENSG00000137492	THAP12
ENSG00000168264	IRF2BP2
ENSG00000118200	CAMSAP2
ENSG00000159314	ARHGAP27
ENSG00000111679	PTPN6
ENSG00000164190	NIPBL
ENSG00000134186	PRPF38B
ENSG00000187867	PALM3
ENSG00000164076	CAMKV
ENSG00000167978	SRRM2
ENSG00000119638	NEK9
ENSG00000147526	TACC1
ENSG00000197442	MAP3K5
ENSG00000132842	AP3B1
ENSG00000198945	L3MBTL3
ENSG00000078177	N4BP2
ENSG00000148408	CACNA1B
ENSG00000080345	RIF1
ENSG00000025293	PHF20
ENSG00000101040	ZMYND8
ENSG00000008083	JARID2
ENSG00000058804	NDC1
ENSG00000159166	LAD1
ENSG00000115234	SNX17
ENSG00000065000	AP3D1
ENSG00000124067	SLC12A4
ENSG00000175662	TOM1L2
ENSG00000057294	PKP2
ENSG00000204131	NHSL2
ENSG00000080493	SLC4A4
ENSG00000100650	SRSF5
ENSG00000205302	SNX2
ENSG00000029363	BCLAF1
ENSG00000151657	KIN
ENSG00000132688	NES
