From	To
O43293	9606.ENSP00000442973
O15075	9606.ENSP00000255448
Q9C098	9606.ENSP00000394484
Q8N568	9606.ENSP00000303887
P49137	9606.ENSP00000356070
Q16644	9606.ENSP00000396467
Q8IW41	9606.ENSP00000449381
Q9BUB5	9606.ENSP00000361014
Q9HBH9	9606.ENSP00000250896
Q8WZ42	9606.ENSP00000467141
Q86YV6	9606.ENSP00000274643
Q16816	9606.ENSP00000445440
P15735	9606.ENSP00000455607
Q86V86	9606.ENSP00000353824
P11309	9606.ENSP00000362608
Q9P1W9	9606.ENSP00000365692
P98161	9606.ENSP00000262304
Q15139	9606.ENSP00000333568
Q13563	9606.ENSP00000237596
Q9BZL6	9606.ENSP00000393978
P11801	9606.ENSP00000291041
Q96QS6	9606.ENSP00000276616
O96017	9606.ENSP00000372023
Q96RU8	9606.ENSP00000312150
Q92519	9606.ENSP00000155926
Q96RU7	9606.ENSP00000217233
O75962	9606.ENSP00000339299
O60229	9606.ENSP00000240874
Q15772	9606.ENSP00000311684
Q96PN8	9606.ENSP00000362634
Q96PF2	9606.ENSP00000382544
Q9BXA6	9606.ENSP00000466477
Q6SA08	9606.ENSP00000339179
Q9BXA7	9606.ENSP00000375081
P78368	9606.ENSP00000255641
Q6IQ55	9606.ENSP00000267890
Q5TCY1	9606.ENSP00000259750
Q99986	9606.ENSP00000216639
Q86Y07	9606.ENSP00000408002
Q8IV63	9606.ENSP00000469880
P06493	9606.ENSP00000378699
P24941	9606.ENSP00000266970
Q00526	9606.ENSP00000410561
Q15131	9606.ENSP00000338673
P11802	9606.ENSP00000257904
Q00534	9606.ENSP00000265734
Q00535	9606.ENSP00000419782
P50613	9606.ENSP00000256443
P49336	9606.ENSP00000370938
P21127	9606.ENSP00000464036
Q9BWU1	9606.ENSP00000357907
P50750	9606.ENSP00000362361
Q14004	9606.ENSP00000181839
Q9NYV4	9606.ENSP00000398880
Q00536	9606.ENSP00000276052
Q00537	9606.ENSP00000261211
Q07002	9606.ENSP00000423665
Q8IZL9	9606.ENSP00000322343
Q92772	9606.ENSP00000412365
Q00532	9606.ENSP00000379176
O76039	9606.ENSP00000369325
Q5MAI5	9606.ENSP00000368080
Q8IVW4	9606.ENSP00000265334
P49759	9606.ENSP00000394734
P49760	9606.ENSP00000357345
P49761	9606.ENSP00000378505
Q9HAZ1	9606.ENSP00000316948
Q9Y463	9606.ENSP00000469863
Q13627	9606.ENSP00000381932
Q92630	9606.ENSP00000342105
Q9NR20	9606.ENSP00000441755
O43781	9606.ENSP00000356076
Q86Z02	9606.ENSP00000358571
Q9H422	9606.ENSP00000304226
Q9H2X6	9606.ENSP00000385571
Q8NE63	9606.ENSP00000291823
O43172	9606.ENSP00000363313
Q13523	9606.ENSP00000337194
P49840	9606.ENSP00000222330
P49841	9606.ENSP00000324806
P27361	9606.ENSP00000263025
P28482	9606.ENSP00000215832
Q16659	9606.ENSP00000261845
P31152	9606.ENSP00000383234
Q13164	9606.ENSP00000311005
Q8TD08	9606.ENSP00000337691
P45983	9606.ENSP00000378974
P45984	9606.ENSP00000394560
P53779	9606.ENSP00000352157
Q9UBE8	9606.ENSP00000384625
P20794	9606.ENSP00000346484
Q96L96	9606.ENSP00000258888
Q9UPZ9	9606.ENSP00000349458
Q9UQ07	9606.ENSP00000355304
Q96SB4	9606.ENSP00000362931
P78362	9606.ENSP00000377262
Q9UPE1	9606.ENSP00000359119
O14965	9606.ENSP00000216911
O60566	9606.ENSP00000287598
O43683	9606.ENSP00000302530
Q96S44	9606.ENSP00000361186
Q96RR4	9606.ENSP00000312741
Q8N5S9	9606.ENSP00000158166
O00311	9606.ENSP00000393139
P68400	9606.ENSP00000217244
P19784	9606.ENSP00000262506
Q8TF76	9606.ENSP00000325290
O15111	9606.ENSP00000359424
O14920	9606.ENSP00000430684
Q14164	9606.ENSP00000464030
Q9UHD2	9606.ENSP00000329967
O75460	9606.ENSP00000401445
Q76MJ5	9606.ENSP00000256797
P00540	9606.ENSP00000310722
O14976	9606.ENSP00000314499
Q2M2I8	9606.ENSP00000386456
O75716	9606.ENSP00000386928
Q9NSY1	9606.ENSP00000334836
Q96PY6	9606.ENSP00000424757
P51955	9606.ENSP00000355966
P51956	9606.ENSP00000484443
P51957	9606.ENSP00000233027
Q9HC98	9606.ENSP00000362702
Q8TDX7	9606.ENSP00000356355
Q86SG6	9606.ENSP00000268766
Q8TD19	9606.ENSP00000238616
Q6P3R8	9606.ENSP00000347767
Q8NG66	9606.ENSP00000372857
Q6ZWH5	9606.ENSP00000343847
P0C263	9606.ENSP00000389015
P0C264	9606.ENSP00000483467
Q9BXM7	9606.ENSP00000364204
Q86YV5	9606.ENSP00000481109
Q8N165	9606.ENSP00000363389
Q8TDR2	9606.ENSP00000370891
Q8IWB6	9606.ENSP00000240361
Q9UHY1	9606.ENSP00000233557
Q9NSY0	9606.ENSP00000414055
Q504Y2	9606.ENSP00000294964
Q6XUX3	9606.ENSP00000356130
Q8NE28	9606.ENSP00000361025
Q9H5K3	9606.ENSP00000331258
Q9BXU1	9606.ENSP00000348132
Q8TAS1	9606.ENSP00000420270
Q05823	9606.ENSP00000356530
Q9P2K8	9606.ENSP00000263791
Q9NZJ5	9606.ENSP00000307235
P19525	9606.ENSP00000233057
Q9BQI3	9606.ENSP00000199389
P53350	9606.ENSP00000300093
Q9H4B4	9606.ENSP00000361275
O00444	9606.ENSP00000270861
Q9NYY3	9606.ENSP00000274289
Q96KG9	9606.ENSP00000270176
Q8IZE3	9606.ENSP00000356746
Q6P3W7	9606.ENSP00000354061
Q8TEA7	9606.ENSP00000273980
Q9UKI8	9606.ENSP00000411099
Q86UE8	9606.ENSP00000316512
Q96KB5	9606.ENSP00000428489
P33981	9606.ENSP00000358813
O75385	9606.ENSP00000324560
Q8IYT8	9606.ENSP00000378914
Q6PHR2	9606.ENSP00000400312
Q96C45	9606.ENSP00000301831
Q99570	9606.ENSP00000349205
Q01538	9606.ENSP00000327465
Q99640	9606.ENSP00000262300
P30291	9606.ENSP00000402084
P0C1S8	9606.ENSP00000380675
Q9Y3S1	9606.ENSP00000297954
Q9H4A3	9606.ENSP00000341292
Q96J92	9606.ENSP00000246914
Q9BYP7	9606.ENSP00000346667
Q13233	9606.ENSP00000382423
Q9Y2U5	9606.ENSP00000387246
Q99759	9606.ENSP00000354927
Q9Y6R4	9606.ENSP00000375986
Q99683	9606.ENSP00000351908
O95382	9606.ENSP00000419591
O95747	9606.ENSP00000311713
Q8TAX0	9606.ENSP00000272223
P35557	9606.ENSP00000223366
Q12851	9606.ENSP00000294066
Q92918	9606.ENSP00000465039
P26927	9606.ENSP00000414287
Q13043	9606.ENSP00000361892
Q13188	9606.ENSP00000429744
Q8WXR4	9606.ENSP00000386213
Q8NEV4	9606.ENSP00000265944
Q13153	9606.ENSP00000278568
Q16512	9606.ENSP00000343325
Q13177	9606.ENSP00000314067
O75914	9606.ENSP00000353864
O96013	9606.ENSP00000469413
Q9NQU5	9606.ENSP00000453858
Q9P286	9606.ENSP00000367686
Q9H2G2	9606.ENSP00000358770
O94804	9606.ENSP00000176763
Q9Y6E0	9606.ENSP00000365730
O00506	9606.ENSP00000325748
Q9P289	9606.ENSP00000377867
Q02750	9606.ENSP00000302486
P36507	9606.ENSP00000262948
Q13163	9606.ENSP00000178640
P52564	9606.ENSP00000468348
O14733	9606.ENSP00000381070
P46734	9606.ENSP00000345083
P45985	9606.ENSP00000410402
P41279	9606.ENSP00000263056
Q9UKG9	9606.ENSP00000413575
O95819	9606.ENSP00000343658
Q99558	9606.ENSP00000482657
P00519	9606.ENSP00000361423
P42684	9606.ENSP00000427562
Q9P2R6	9606.ENSP00000338629
Q13470	9606.ENSP00000459799
Q9UM73	9606.ENSP00000373700
P29376	9606.ENSP00000263800
P30530	9606.ENSP00000301178
Q12866	9606.ENSP00000295408
Q06418	9606.ENSP00000263798
Q13308	9606.ENSP00000418754
P41240	9606.ENSP00000220003
P42679	9606.ENSP00000378485
Q08345	9606.ENSP00000427552
Q16832	9606.ENSP00000356899
P00533	9606.ENSP00000275493
P21709	9606.ENSP00000275815
P29317	9606.ENSP00000351209
P29320	9606.ENSP00000337451
P54764	9606.ENSP00000281821
P54756	9606.ENSP00000480763
P29322	9606.ENSP00000166244
P54762	9606.ENSP00000381097
P29323	9606.ENSP00000363763
P54753	9606.ENSP00000332118
P54760	9606.ENSP00000350896
O15197	9606.ENSP00000481994
Q15375	9606.ENSP00000358309
Q5JZY3	9606.ENSP00000362139
Q9UF33	9606.ENSP00000374323
Q05397	9606.ENSP00000341189
Q14289	9606.ENSP00000380638
P16591	9606.ENSP00000281092
P07332	9606.ENSP00000331504
P11362	9606.ENSP00000393312
P21802	9606.ENSP00000410294
P22607	9606.ENSP00000339824
P22455	9606.ENSP00000292408
P08069	9606.ENSP00000268035
P06213	9606.ENSP00000303830
P14616	9606.ENSP00000357178
P23458	9606.ENSP00000343204
O60674	9606.ENSP00000371067
P52333	9606.ENSP00000391676
P29597	9606.ENSP00000431885
Q6ZMQ8	9606.ENSP00000324196
Q8IWU2	9606.ENSP00000297293
P08581	9606.ENSP00000317272
Q9NWH9	9606.ENSP00000369887
Q04912	9606.ENSP00000296474
O15146	9606.ENSP00000363571
P07333	9606.ENSP00000286301
P36888	9606.ENSP00000241453
P10721	9606.ENSP00000288135
P16234	9606.ENSP00000257290
P09619	9606.ENSP00000261799
P07949	9606.ENSP00000347942
Q01973	9606.ENSP00000360120
Q01974	9606.ENSP00000364860
P34925	9606.ENSP00000478721
P08922	9606.ENSP00000357494
P51451	9606.ENSP00000259089
Q13882	9606.ENSP00000442460
P09769	9606.ENSP00000363117
P06241	9606.ENSP00000346671
P08631	9606.ENSP00000444986
P06239	9606.ENSP00000337825
P07948	9606.ENSP00000428924
P12931	9606.ENSP00000362680
P07947	9606.ENSP00000462468
P42685	9606.ENSP00000476145
P19623	9606.ENSP00000366156
P43405	9606.ENSP00000364907
P43403	9606.ENSP00000264972
Q06187	9606.ENSP00000483570
Q08881	9606.ENSP00000398655
P42680	9606.ENSP00000370912
Q92570	9606.ENSP00000482027
P42681	9606.ENSP00000264316
P51813	9606.ENSP00000350224
Q02763	9606.ENSP00000369375
P35590	9606.ENSP00000361554
P04629	9606.ENSP00000431418
Q16620	9606.ENSP00000277120
Q16288	9606.ENSP00000354207
P17948	9606.ENSP00000282397
P35916	9606.ENSP00000261937
P35968	9606.ENSP00000263923
P51617	9606.ENSP00000358997
O43187	9606.ENSP00000256458
Q9Y616	9606.ENSP00000261233
Q9NWZ3	9606.ENSP00000390651
P53671	9606.ENSP00000339916
P53667	9606.ENSP00000336740
Q15569	9606.ENSP00000481045
Q96S53	9606.ENSP00000361158
Q5S007	9606.ENSP00000298910
Q38SD2	9606.ENSP00000373600
Q13418	9606.ENSP00000379975
P80370	9606.ENSP00000340292
O43283	9606.ENSP00000265026
P80192	9606.ENSP00000451263
Q02779	9606.ENSP00000253055
Q16584	9606.ENSP00000309597
Q9NYL2	9606.ENSP00000364361
Q5TCX8	9606.ENSP00000355583
O43318	9606.ENSP00000358335
P49116	9606.ENSP00000483059
P10398	9606.ENSP00000290277
P15056	9606.ENSP00000288602
Q8IVT5	9606.ENSP00000381958
P04049	9606.ENSP00000251849
Q6VAB6	9606.ENSP00000389715
Q8WXI2	9606.ENSP00000368824
Q13546	9606.ENSP00000259808
O43353	9606.ENSP00000220751
Q9Y572	9606.ENSP00000216274
P57078	9606.ENSP00000332454
Q8NFD2	9606.ENSP00000306678
P37023	9606.ENSP00000373574
P36894	9606.ENSP00000361107
P36896	9606.ENSP00000442656
P36897	9606.ENSP00000364133
O00238	9606.ENSP00000401907
Q8NER5	9606.ENSP00000243349
P61160	9606.ENSP00000367220
Q16671	9606.ENSP00000257863
Q13873	9606.ENSP00000363708
P37173	9606.ENSP00000351905
Q8NB16	9606.ENSP00000308351
